pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,is_exoplanet
2459594.183,26.3208756,4.414,800.0,2.71349,26.4328,631.0,8.9361,84.5362,5729.0,4.47,0.98,1
2458697.756,18.795547,4.3425576,470.6731965,2.1597669,48.477077,672.9826313,8.9361,84.5362,5729.0,4.47,0.977727,1
2458684.205,0.64971,2.076,620.0,6.23181,83182.0,4731.0,8.90601,395.12,9994.0,4.02,2.59,0
2458327.52,3.2887898,3.4367717,7005.72479,10.5135877,759.3373533,1338.839265,10.6103,216.526,5800.0,4.28004,1.24175,1
2460637.862,13.7431084,2.285,5688.0,12.05,84.3234,844.0,8.88797,121.182,5941.5,,1.34,0
2460289.874,16.9487087,4.2887767,156467.548,45.2204505,78.263287,758.5937679,8.8523,97.3391,5894.7,4.37,1.1179,0
2460335.938,3.3686634,3.012,3288.0,42.2321,9856.24,2775.0,8.64028,299.294,7518.0,3.82,2.68,0
2460352.734,11.2071839,4.366,3276.0,17.4989,813.063,1487.0,8.63287,191.984,6152.0,3.84,2.24,0
2460554.347,4.8878037,2.184,4279.0,5.29152,71.6805,810.0,8.5077,37.7647,4757.3,4.56,0.76,1
2458685.816,2.97164,1.534,7350.0,,3089.18,2076.0,8.5011,438.395,8562.5,,,0
2459420.415,0.660179,1.6349369,473.0939303,6.1672487,252487.7639,5717.153248,8.40386,411.307,8598.7,4.1,2.62432,0
2460331.316,10.9278415,2.468,2743.0,49.1695,270.142,1129.0,8.36544,218.258,6259.0,3.59,2.92,0
2460361.367,5.5514888,4.335,9493.0,15.8043,802.858,1482.0,7.9179,96.5173,6403.9,4.16,1.55,1
2458329.903,4.7423709,2.4988145,12650.81104,10.5505922,209.7699043,970.6340996,13.0417,453.808,5377.0,4.42476,0.877585,1
2458683.458,1.4810903,4.1588291,6788.514539,20.3402421,33326.73049,3446.021057,7.58204,204.455,9435.0,4.11,2.28773,1
2460337.986,3.4741012,3.317,15748.0,21.2912,3453.07,2084.333087,7.55216,136.426,8894.8,4.38,1.62,1
2459392.715,6.5011911,5.5463587,4501.345406,,214.9638584,976.5873888,8.0348,105.334,5485.0,,,0
2458683.926,1.32003,3.175,552.468,,,,9.711,,,,,0
2459443.85,1.6865822,2.429,1770.0,,,,9.7032,6079.49,,,,0
2459603.766,13.0727479,3.044,4080.0,35.7944,221.343,1074.0,9.6043,432.113,5709.8,3.37,3.59,0
2459446.176,2.9258727,4.075,6720.0,24.4055,3028.51,2066.0,9.5967,,4884.5,,1.3,0
2458683.947,0.73774,0.636,524.852,5.28215,,,9.5937,292.83,6449.5,3.94,2.1,0
2458326.689,2.7985802,2.3801043,16708.7152,11.9514993,332.556249,1089.145817,11.0443,149.942,4920.0,4.49371,0.906655,1
2459446.147,2.3664127,2.591,300.0,,,,9.577,2320.13,,,,0
2460556.484,1.7635881,3.092,6650.0,,7685.79,2608.0,10.2306,519.096,7986.1,,,1
2459822.313,3.2077145,2.708,9640.0,,,,9.329701,827.868,,,,0
2460352.823,2.2552845,2.05,20820.0,14.688,549.715,1348.0,9.76703,126.261,5787.0,4.5,0.96,1
2460556.103,1.8824539,2.46,1391.0,8.29008,15173.2,3091.0,9.7604,153.743,5900.4,4.39,1.13,0
2458689.116,15.196,1.792,1970.0,4.96345,,,10.3874,209.618,5807.0,,1.14,0
2460363.632,2.1358631,1.559,10325.0,23.6019,1540.95,1745.0,10.381,274.162,5969.0,4.17,1.5,0
2459063.656,3.5862962,3.3710943,5729.324686,16.4747611,1787.595594,1658.39152,11.7806,603.955,5704.8,3.84,2.00441,1
2460556.995,1.8296155,2.166,1406.0,29.3616,32867.0,3751.0,10.349,880.107,7875.0,3.61,3.5,0
2460541.381,11.1876137,3.183,4924.0,31.8624,838.609,1499.0,10.3075,482.763,7266.0,4.06,2.05,0
2460634.946,7.8513949,6.835,22029.0,,,,10.3018,875.061,,,,0
2460341.784,7.0643978,2.424,8268.0,9.39131,104.311,890.0,10.2938,132.353,5429.6,4.44,0.96,1
2460355.403,8.9534775,2.696,1136.0,2.35888,45.5604,723.0,10.2549,94.6375,5029.5,4.61,0.76,1
2459437.549,7.5022708,2.605,1760.0,5.55812,129.866,940.0,10.2026,216.517,6229.0,4.31,1.27,0
2460556.672,1.692892,2.886,1418.0,11.2371,187927.0,5800.0,10.1617,602.899,9121.5,4.21,2.1,0
2460646.784,2.6652007,3.49,819.0,2.35964,2905.35,2045.0,10.1358,36.7224,4043.4,4.69,0.56,0
2460175.749,6.0344667,1.89,1800.0,4.44029,64.2648,788.0,9.179,94.1719,5586.0,4.36763,1.05,1
2460473.411,9.6867516,2.512,1669.0,3.00336,41.6645,707.0,10.112,72.0238,4738.1,4.59,0.73,1
2460556.242,2.1031647,5.059,7142.0,16.7087,14140.0,3037.0,10.079,302.819,6122.0,3.93,1.93,1
2460386.222,7.6416041,2.654,6025.0,27.538,478.683,1303.0,10.0049,,6496.7,,2.05,0
2460654.566,5.9294088,2.933,10226.0,10.8101,456.893,,9.9478,112.868,5095.6,,1.06,0
2460558.35,5.7484439,1.76,1041.0,2.35215,75.272,820.0,9.9469,58.5946,4534.0,4.61,0.69,1
2460532.183,1.1967018,1.879,824.0,10.3239,25917.9,3534.0,9.94025,246.798,5997.0,4.0,1.73,0
2460649.255,11.2464616,7.391,7576.0,17.6677,365.938,1218.0,9.92402,294.85,6115.7,3.89,2.01,0
2458687.193,8.5112,3.486,4172.76,,,,9.886581,347.452,8156.0,4.35,,0
2459441.423,15.7335693,3.288,2540.0,24.3218,367.588,1219.0,9.7831,355.809,6800.0,3.91,2.21,0
2460337.368,2.2219839,1.996,4394.0,15.4416,7790.56,,10.4813,501.963,7166.8,,1.87,0
2460367.072,2.3106428,1.294,6911.0,8.76741,203.685,1052.0,10.4782,149.667,5339.9,4.41,0.99,1
